iter	Passed	Remaining
455	841	1004
456	844	1003
457	846	1002
458	849	1000
459	850	998
460	851	995
461	854	994
462	855	992
463	856	989
464	859	989
465	861	986
466	862	984
467	863	981
468	865	979
469	869	980
470	870	977
471	871	975
472	875	975
473	877	973
474	878	970
475	879	968
476	880	965
477	883	964
478	884	962
479	885	959
480	886	956
481	889	955
482	890	953
483	891	950
484	892	948
485	893	945
486	894	942
487	896	940
488	898	938
489	899	935
490	900	933
491	901	931
492	903	928
493	905	927
494	907	925
495	911	925
496	914	925
497	916	924
498	918	922
499	919	919
500	922	918
501	923	916
502	924	913
503	925	911
504	928	909
505	929	907
506	930	905
507	931	902
508	932	899
509	933	896
510	934	894
511	937	893
512	938	890
513	939	888
514	940	885
515	941	882
516	944	882
517	945	880
518	947	877
519	947	874
520	948	872
521	949	869
522	952	868
523	953	866
524	954	863
525	955	860
526	958	860
527	959	857
528	960	855
529	961	852
530	962	850
531	963	847
532	964	844
533	967	843
534	968	841
535	968	838
536	971	837
537	973	835
538	974	833
539	975	830
540	976	828
541	977	825
542	978	823
543	979	820
544	982	820
545	983	817
546	984	815
547	985	812
548	988	811
549	989	809
550	990	807
551	991	804
552	992	802
553	993	799
554	994	797
555	997	796
556	998	793
557	999	791
558	999	788
559	1002	787
560	1003	785
561	1005	783
562	1006	781
563	1007	778
564	1008	776
565	1009	774
566	1011	772
567	1013	770
568	1014	768
569	1015	765
570	1017	764
571	1018	762
572	1020	760
573	1021	757
574	1022	755
575	1022	753
576	1023	750
577	1026	749
578	1027	747
579	1028	745
580	1031	744
581	1032	741
582	1033	739
583	1034	737
584	1035	734
585	1036	732
586	1037	730
587	1039	728
588	1040	726
589	1041	723
590	1043	721
591	1045	720
592	1047	718
593	1048	716
594	1049	714
595	1050	711
596	1051	709
597	1054	708
598	1055	706
599	1056	704
600	1057	701
601	1059	700
602	1060	698
603	1063	697
604	1064	694
605	1065	692
606	1066	690
607	1070	690
608	1071	688
609	1072	685
610	1073	683
611	1074	680
612	1074	678
613	1075	676
614	1076	673
615	1077	671
616	1078	669
617	1079	667
618	1081	665
619	1083	664
620	1084	662
621	1087	660
622	1088	658
623	1089	656
624	1090	654
625	1091	652
626	1092	650
627	1094	648
628	1096	646
629	1099	645
630	1100	643
631	1101	641
632	1104	640
633	1106	638
634	1107	636
635	1108	634
636	1109	632
637	1112	631
638	1113	629
639	1114	626
640	1115	624
641	1118	623
642	1119	621
643	1121	619
644	1122	617
645	1123	615
646	1124	613
647	1125	611
648	1127	609
649	1128	607
650	1129	605
651	1130	603
652	1132	602
653	1134	600
654	1135	598
655	1136	595
656	1137	593
657	1138	591
658	1141	590
659	1142	588
660	1143	586
661	1147	585
662	1148	583
663	1149	581
664	1151	579
665	1152	577
666	1155	576
667	1156	574
668	1157	572
669	1158	570
670	1160	568
671	1161	567
672	1162	565
673	1163	562
674	1164	560
675	1165	558
676	1169	558
677	1170	556
678	1174	555
679	1175	553
680	1176	551
681	1177	549
682	1183	549
683	1186	548
684	1188	546
685	1189	544
686	1190	542
687	1191	540
688	1193	538
689	1194	536
690	1196	534
691	1198	533
692	1200	531
693	1204	530
694	1205	528
695	1206	526
696	1207	524
697	1208	522
698	1209	520
699	1212	519
700	1214	518
701	1215	516
702	1217	514
703	1218	512
704	1219	510
705	1220	508
706	1221	506
707	1223	504
708	1226	503
709	1227	501
710	1228	499
711	1231	498
712	1233	496
713	1236	495
714	1237	493
715	1238	491
716	1241	489
717	1242	488
718	1243	486
719	1247	485
720	1248	483
721	1249	481
722	1250	479
723	1251	477
724	1254	475
725	1256	474
726	1257	472
727	1259	470
728	1261	468
729	1262	466
730	1263	464
731	1264	462
732	1265	460
733	1276	462
734	1278	460
735	1280	459
736	1281	457
737	1283	455
738	1287	454
739	1289	453
740	1292	451
741	1294	449
742	1295	448
743	1296	446
744	1300	445
745	1302	443
746	1305	442
747	1307	440
748	1309	438
749	1312	437
750	1316	436
751	1320	435
752	1322	433
753	1324	432
754	1325	430
755	1329	429
756	1331	427
757	1335	426
758	1336	424
759	1338	422
760	1339	420
761	1341	418
762	1344	417
763	1347	416
764	1348	414
765	1350	412
766	1351	410
767	1353	408
768	1357	407
769	1362	406
770	1364	405
771	1366	403
772	1367	401
773	1374	401
774	1376	399
775	1378	397
776	1379	395
777	1381	394
778	1383	392
779	1388	391
780	1390	389
781	1391	387
782	1392	385
783	1393	383
784	1394	381
785	1395	379
786	1395	377
787	1400	376
788	1402	374
789	1404	373
790	1405	371
791	1407	369
792	1408	367
793	1409	365
794	1410	363
795	1414	362
796	1415	360
797	1416	358
798	1418	356
799	1419	354
800	1420	352
801	1422	351
802	1423	349
803	1424	347
804	1425	345
805	1428	343
806	1430	342
807	1432	340
808	1434	338
809	1435	336
810	1436	334
811	1437	332
812	1438	330
813	1439	328
814	1445	328
815	1448	326
816	1450	324
817	1451	322
818	1453	321
819	1457	319
820	1459	318
821	1460	316
822	1461	314
823	1463	312
824	1464	310
825	1465	308
826	1468	307
827	1472	305
828	1474	304
829	1475	302
830	1476	300
831	1478	298
832	1481	296
833	1482	295
834	1485	293
835	1489	292
836	1491	290
837	1492	288
838	1493	286
839	1495	284
840	1496	282
841	1497	281
842	1498	279
843	1500	277
844	1502	275
845	1503	273
846	1506	272
847	1508	270
848	1510	268
849	1511	266
850	1512	264
851	1513	262
852	1515	261
853	1516	259
854	1519	257
855	1521	255
856	1522	254
857	1523	252
858	1524	250
859	1525	248
860	1526	246
861	1529	244
862	1530	243
863	1532	241
864	1533	239
865	1536	237
866	1537	235
867	1538	233
868	1540	232
869	1541	230
870	1543	228
871	1545	226
872	1546	224
873	1547	223
874	1550	221
875	1551	219
876	1552	217
877	1553	215
878	1554	213
879	1555	212
880	1558	210
881	1560	208
882	1561	206
883	1564	205
884	1565	203
885	1567	201
886	1568	199
887	1569	197
888	1570	196
889	1572	194
890	1574	192
891	1575	190
892	1576	188
893	1579	187
894	1580	185
895	1581	183
896	1582	181
897	1583	179
898	1584	178
899	1587	176
900	1589	174
901	1590	172
902	1591	170
903	1593	169
904	1594	167
905	1595	165
906	1596	163
907	1597	161
908	1598	160
909	1599	158
910	1602	156
911	1603	154
912	1604	152
913	1607	151
914	1608	149
915	1609	147
916	1611	145
917	1612	144
918	1613	142
919	1614	140
920	1616	138
921	1617	136
922	1618	135
923	1620	133
924	1622	131
925	1623	129
926	1624	127
927	1626	126
928	1627	124
929	1631	122
930	1633	121
931	1635	119
932	1636	117
933	1637	115
934	1639	113
935	1640	112
936	1641	110
937	1647	108
938	1651	107
939	1653	105
940	1654	103
941	1655	101
942	1656	100
943	1658	98
944	1660	96
945	1662	94
946	1664	93
947	1666	91
948	1667	89
949	1669	87
950	1670	86
951	1671	84
952	1673	82
953	1675	80
954	1676	79
955	1678	77
956	1679	75
957	1681	73
958	1682	71
959	1683	70
960	1684	68
961	1685	66
962	1687	64
963	1689	63
964	1690	61
965	1693	59
966	1694	57
967	1695	56
968	1696	54
969	1697	52
970	1698	50
971	1699	48
972	1701	47
973	1703	45
974	1704	43
975	1706	41
976	1707	40
977	1708	38
978	1709	36
979	1710	34
980	1711	33
981	1712	31
982	1713	29
983	1714	27
984	1716	26
985	1718	24
986	1719	22
987	1720	20
988	1721	19
989	1722	17
990	1724	15
991	1725	13
992	1726	12
993	1727	10
994	1728	8
995	1730	6
996	1731	5
997	1732	3
998	1733	1
999	1734	0
