iter	RMSE
271	4.605243061
272	4.599269831
273	4.591738153
274	4.58723051
275	4.583466488
276	4.575416263
277	4.573165022
278	4.572297243
279	4.57013791
280	4.562468789
281	4.560123267
282	4.552767655
283	4.552124704
284	4.547284366
285	4.545073126
286	4.544395066
287	4.539708102
288	4.534543166
289	4.52866067
290	4.525792515
291	4.524668766
292	4.522706342
293	4.516642996
294	4.511318986
295	4.50635512
296	4.503122843
297	4.499457642
298	4.493741484
299	4.490707723
300	4.484008732
301	4.483507219
302	4.475914934
303	4.471928919
304	4.465535619
305	4.461130777
306	4.458973045
307	4.453718935
308	4.449572419
309	4.44525977
310	4.444175174
311	4.439661834
312	4.437919604
313	4.43500372
314	4.434546543
315	4.428026042
316	4.422957931
317	4.420823647
318	4.417916186
319	4.415796737
320	4.412776595
321	4.412176626
322	4.407914244
323	4.402361259
324	4.39580412
325	4.392346516
326	4.389116967
327	4.38417438
328	4.378634984
329	4.373742463
330	4.370901367
331	4.368721645
332	4.36543531
333	4.362495525
334	4.357784173
335	4.356201182
336	4.355490614
337	4.353878689
338	4.349646926
339	4.345915427
340	4.341970129
341	4.339976271
342	4.337919613
343	4.329411073
344	4.326629122
345	4.326128118
346	4.323323529
347	4.322996181
348	4.317268232
349	4.312224657
350	4.308328779
351	4.302790845
352	4.302463044
353	4.299027847
354	4.291307743
355	4.288717251
356	4.284500625
357	4.284214974
358	4.281147716
359	4.280520911
360	4.273159397
361	4.268224631
362	4.262325261
363	4.257321219
364	4.254508422
365	4.249888097
366	4.245874027
367	4.241900388
368	4.236876695
369	4.235073133
370	4.230248002
371	4.226397801
372	4.221496583
373	4.219902582
374	4.219360661
375	4.211844393
376	4.210284447
377	4.208951447
378	4.205227656
379	4.200290358
380	4.197747327
381	4.1939627
382	4.1857051
383	4.184372658
384	4.183647894
385	4.178865738
386	4.17519266
387	4.172876804
388	4.170792343
389	4.169360515
390	4.164878176
391	4.159023331
392	4.157106796
393	4.152729211
394	4.15224764
395	4.151996439
396	4.146531199
397	4.144895594
398	4.139697023
399	4.136517534
400	4.131389684
401	4.126906223
402	4.123062366
403	4.12124501
404	4.120787358
405	4.118963233
406	4.117698239
407	4.113250952
408	4.109957993
409	4.106741183
410	4.1019171
411	4.098041722
412	4.094139083
413	4.092769906
414	4.091452615
415	4.09092831
416	4.087904643
417	4.085243845
418	4.083519511
419	4.079875358
420	4.074854223
421	4.071614657
422	4.065639161
423	4.063685009
424	4.06340163
425	4.059887469
426	4.05264982
427	4.048380173
428	4.046882594
429	4.043757265
430	4.041561096
431	4.03860266
432	4.038167732
433	4.037251928
434	4.035975046
435	4.033398055
436	4.027862914
437	4.022593136
438	4.019116295
439	4.014861416
440	4.011860378
441	4.007971785
442	4.007139077
443	4.005916755
444	4.003476463
445	4.002287439
446	3.998845052
447	3.99340146
448	3.990056298
449	3.988980513
450	3.987569244
451	3.98460967
452	3.980343008
453	3.980069834
454	3.977023934
455	3.972430454
456	3.970767218
457	3.969544479
458	3.967000049
459	3.962890701
460	3.962526873
461	3.960123141
462	3.956876161
463	3.953704683
464	3.951931438
465	3.94768555
466	3.946826358
467	3.94438404
468	3.943207333
469	3.938527602
470	3.936143334
471	3.931697265
472	3.931288928
473	3.926375039
474	3.922350172
475	3.919648131
476	3.918101937
477	3.916882713
478	3.913513804
479	3.911273403
480	3.90989738
481	3.906224604
482	3.902421646
483	3.895020305
484	3.890699396
485	3.889643642
486	3.888534334
487	3.888358015
488	3.8881261
489	3.885609371
490	3.885388923
491	3.882781428
492	3.881742086
493	3.878000833
494	3.871597268
495	3.869484478
496	3.86900301
497	3.866068125
498	3.864015402
499	3.862137192
500	3.860241324
501	3.855965291
502	3.852573886
503	3.85080204
504	3.847656028
505	3.846958325
506	3.846062358
507	3.844262143
508	3.84155461
509	3.838240823
510	3.834702739
511	3.833905072
512	3.831547627
513	3.83134333
514	3.830153933
515	3.826302609
516	3.822146856
517	3.821045149
518	3.819839887
519	3.817449307
520	3.816929792
521	3.814396229
522	3.810365118
523	3.808180728
524	3.804460141
525	3.804043072
526	3.800756076
527	3.79815682
528	3.798016572
529	3.795577178
530	3.794774476
531	3.79133136
532	3.787590335
533	3.782990652
534	3.780167753
535	3.777450788
536	3.776434758
537	3.775625913
538	3.775520889
539	3.772316982
540	3.769790926
541	3.765052753
542	3.764351847
543	3.762662046
544	3.759584443
545	3.758272972
546	3.756507917
547	3.753689883
548	3.752814575
549	3.748981045
550	3.745660861
551	3.742249176
552	3.740288663
553	3.739481438
554	3.736072971
555	3.7350199
556	3.731835794
557	3.72804027
558	3.72538293
559	3.724798917
560	3.720757211
561	3.719822863
562	3.716723471
563	3.715854352
564	3.712034157
565	3.706449009
566	3.702913351
567	3.699325786
568	3.696270184
569	3.695788389
570	3.69188159
571	3.690810488
572	3.688333954
573	3.685878192
574	3.683438381
575	3.682213899
576	3.682104993
577	3.679251348
578	3.676428459
579	3.672983114
580	3.672168497
581	3.669823875
582	3.66559408
583	3.660813548
584	3.660603755
585	3.656854034
586	3.656172081
587	3.652463805
588	3.648067505
589	3.647164738
590	3.64654924
591	3.645327947
592	3.643049876
593	3.642292216
594	3.639911361
595	3.637225019
596	3.636101026
597	3.635442443
598	3.634345948
599	3.632119854
600	3.629736067
601	3.628827694
602	3.628670893
603	3.627024361
604	3.623074073
605	3.621482579
606	3.61827437
607	3.612757158
608	3.612602077
609	3.608644707
610	3.608165494
611	3.607926414
612	3.607828302
613	3.603354905
614	3.602384439
615	3.601030096
616	3.600406707
617	3.599383805
618	3.598957299
619	3.597063764
620	3.593583485
621	3.589946592
622	3.585834914
623	3.584238757
624	3.58382131
625	3.581874081
626	3.580552929
627	3.580107356
628	3.576391069
629	3.575690369
630	3.571375378
631	3.56995609
632	3.568246638
633	3.565156586
634	3.56277601
635	3.560849864
636	3.559339813
637	3.55708214
638	3.556616686
639	3.554849279
640	3.55218958
641	3.550233914
642	3.547770367
643	3.545516415
644	3.543511193
645	3.539792186
646	3.537259582
647	3.536739378
648	3.535330562
649	3.532424178
650	3.531185973
651	3.528607384
652	3.527062088
653	3.525436101
654	3.522068678
655	3.518502333
656	3.515900374
657	3.515042799
658	3.511551384
659	3.508014338
660	3.50541876
661	3.50275813
662	3.502647789
663	3.500865675
664	3.498816838
665	3.496365535
666	3.495147981
667	3.491866163
668	3.49115842
669	3.488245092
670	3.487973256
671	3.487114335
672	3.486292931
673	3.484181518
674	3.4811962
675	3.47968552
676	3.479146969
677	3.477797169
678	3.474876514
679	3.473864942
680	3.472715417
681	3.470396246
682	3.469305922
683	3.466930402
684	3.465734143
685	3.464317113
686	3.464037584
687	3.46394713
688	3.462113329
689	3.460731313
690	3.459924577
691	3.456969457
692	3.454552956
693	3.452855774
694	3.450183118
695	3.448983571
696	3.448106447
697	3.44587836
698	3.445484183
699	3.443510392
700	3.44109083
701	3.436558644
702	3.432894235
703	3.430219902
704	3.427759393
705	3.424003357
706	3.421630672
707	3.420409887
708	3.418293618
709	3.418054209
710	3.41450658
711	3.409866848
712	3.408405632
713	3.405573948
714	3.405051363
715	3.404793852
716	3.403540642
717	3.402060228
718	3.400471174
719	3.397993439
720	3.395248098
721	3.395161069
722	3.390828917
723	3.387776219
724	3.387128373
725	3.385237206
726	3.381821901
727	3.380034726
728	3.377251912
729	3.373844687
730	3.372085124
731	3.372008614
732	3.370417846
733	3.36472982
734	3.362763722
735	3.362330401
736	3.360998778
737	3.360919993
738	3.358457656
739	3.358018506
740	3.356629324
741	3.353603826
742	3.35299739
743	3.351768702
744	3.34933336
745	3.34853663
746	3.348110282
747	3.345452307
748	3.341005563
749	3.339803473
750	3.336608384
751	3.333974463
752	3.331585984
753	3.329051226
754	3.325667138
755	3.322830278
756	3.321445393
757	3.319736751
758	3.316525909
759	3.313382921
760	3.310704162
761	3.307246981
762	3.306310451
763	3.306228751
764	3.304857691
765	3.302129595
766	3.30145888
767	3.298610157
768	3.298237547
769	3.297851332
770	3.294770365
771	3.292985113
772	3.291776638
773	3.289466871
774	3.288117568
775	3.286911317
776	3.286093026
777	3.283671166
778	3.282827231
779	3.280203627
780	3.278165041
781	3.276889813
782	3.273940981
783	3.268688074
784	3.267337808
785	3.265700677
786	3.263426482
787	3.263362423
788	3.260859879
789	3.259453061
790	3.258128201
791	3.256176723
792	3.254136265
793	3.253361309
794	3.250187972
795	3.249935712
796	3.248671305
797	3.246311924
798	3.243391494
799	3.240412338
800	3.239904415
801	3.237188991
802	3.235371739
803	3.231254891
804	3.228557017
805	3.228071885
806	3.225985082
807	3.225789935
808	3.223536544
809	3.222501311
810	3.220138527
811	3.219101949
812	3.218542212
813	3.214597236
814	3.213067387
815	3.212819716
816	3.212127576
817	3.208899148
818	3.208837145
819	3.207750459
820	3.206162892
821	3.205623707
822	3.204363518
823	3.201677048
824	3.199178538
825	3.198898895
826	3.195354696
827	3.193650348
828	3.192595551
829	3.190976944
830	3.187832616
831	3.185325363
832	3.183610087
833	3.182256997
834	3.181620142
835	3.180141439
836	3.176085104
837	3.174438485
838	3.171618761
839	3.169528805
840	3.168423067
841	3.168090213
842	3.16688741
843	3.165671272
844	3.164717962
845	3.164533271
846	3.163138119
847	3.161613374
848	3.161251588
849	3.160363359
850	3.157245536
851	3.155050835
852	3.154637447
853	3.154029655
854	3.151456873
855	3.148281688
856	3.146317536
857	3.144063698
858	3.141987793
859	3.140301826
860	3.138304716
861	3.137267919
862	3.136901018
863	3.135267795
864	3.133417395
865	3.130598275
866	3.126885103
867	3.125871844
868	3.123583355
869	3.122441828
870	3.121158895
871	3.118955041
872	3.116904429
873	3.11546228
874	3.113636104
875	3.110522318
876	3.109140238
877	3.107870732
878	3.106887695
879	3.105958075
880	3.10469768
881	3.104429754
882	3.104277625
883	3.103882743
884	3.101755571
885	3.099394296
886	3.09797072
887	3.097023547
888	3.095429246
889	3.094123611
890	3.092569217
891	3.091566714
892	3.090542617
893	3.089148029
894	3.088164513
895	3.087177079
896	3.085394989
897	3.084213263
898	3.083556882
899	3.080941665
900	3.080479643
901	3.078731613
902	3.077243054
903	3.076173115
904	3.074272779
905	3.072294613
906	3.072049088
907	3.071597129
908	3.069034645
909	3.068767559
910	3.067150494
911	3.064156593
912	3.062550167
913	3.060014994
914	3.059090815
915	3.057112657
916	3.0556233
917	3.054224766
918	3.05178881
919	3.050502203
920	3.04900403
921	3.047069139
922	3.045446009
923	3.043430305
924	3.041304292
925	3.03991862
926	3.03964069
927	3.037497161
928	3.035896615
929	3.034380867
930	3.033996967
931	3.033251252
932	3.032402058
933	3.030030558
934	3.028947022
935	3.026658492
936	3.025828212
937	3.023509032
938	3.021949475
939	3.018700467
940	3.0184537
941	3.01768826
942	3.017562466
943	3.016603175
944	3.016464556
945	3.015159062
946	3.014268993
947	3.011940258
948	3.011787512
949	3.009666879
950	3.00752371
951	3.005671973
952	3.003904797
953	3.003703185
954	3.001600212
955	2.999793392
956	2.996997383
957	2.994957568
958	2.994481262
959	2.992317526
960	2.990402448
961	2.9895186
962	2.988611429
963	2.988355144
964	2.98826506
965	2.986881599
966	2.986536119
967	2.986240942
968	2.984001542
969	2.982481554
970	2.981027778
971	2.978218982
972	2.977360921
973	2.975630651
974	2.973607393
975	2.970505813
976	2.970202675
977	2.968904224
978	2.967007251
979	2.964756482
980	2.964177835
981	2.964144552
982	2.961776088
983	2.959906227
984	2.957964668
985	2.95688278
986	2.955935179
987	2.954555996
988	2.954276837
989	2.954236216
990	2.951315266
991	2.950215304
992	2.949224883
993	2.947927971
994	2.946581429
995	2.946096095
996	2.945568713
997	2.944508242
998	2.944465869
999	2.943549545
